Description
(R)-lactate:ferricytochrome-c 2-oxidoreductase
(R)-lactate:ferricytochrome-c 2-oxidoreductase
(R,R)-butanediol dehydrogenase
(S)-lactate:ferricytochrome-c 2-oxidoreductase
1,3-beta-glucan synthase
1,4-alpha-glucan branching enzyme
1,6-beta-glucan synthase
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase
1-acyl-sn-gylcerol-3-phosphate acyltransferase
1-phosphatidylinositol-3-phosphate 5-kinase
1-phosphatidylinositol-3-phosphate 5-kinase
1-pyrroline-5-carboxylate dehydrogenase
2,3-diketo-5-methylthio-1-phosphopentane degradation reaction
2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase
2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)
2-aceto-2-hydroxybutanoate synthase
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2-aminoadipate transaminase
2-dehydropantoate 2-reductase
2-dehydropantoate 2-reductase
2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase
2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase
2-hexaprenyl-6-methoxyphenol monooxygenase
2-hydroxybutyrate:NAD+ oxidoreductase
2-isopropylmalate hydratase
2-isopropylmalate synthase
2-isopropylmalate synthase
2-keto-4-methylthiobutyrate transamination
2-methylcitrate dehydratase
2-methylcitrate synthase
2-oxo-4-methyl-3-carboxypentanoate decarboxylation
2-oxo-4-methyl-3-carboxypentanoate decarboxylation
2-oxobutanoate dehydrogenase
3',5'-bisphosphate nucleotidase
3',5'-cyclic-nucleotide phosphodiesterase
3',5'-cyclic-nucleotide phosphodiesterase
3',5'-cyclic-nucleotide phosphodiesterase
3',5'-cyclic-nucleotide phosphodiesterase
3',5'-cyclic-nucleotide phosphodiesterase
3,4-dihydroxy-2-butanone-4-phosphate synthase
3-(4-hydroxyphenyl-)lactate formation
3-dehydroquinate dehydratase
3-dehydroquinate synthase
